HCS_DRUG_CAT,TCGPI_ID,NDC_UPC_HRI,TCGPI_NAME,DRUG_NAME,BUP_INJECTION
BENZO,57100010000305,5334031,Alprazolam Tab 0.25 MG,ALPRAZolam,0
BENZO,57100010000305,5334043,Alprazolam Tab 0.25 MG,ALPRAZolam,0
BENZO,57100010000305,9002901,Alprazolam Tab 0.25 MG,Xanax,0
BENZO,57100010000305,9002902,Alprazolam Tab 0.25 MG,Xanax,0
BENZO,57100010000305,9002903,Alprazolam Tab 0.25 MG,Xanax,0
BENZO,57100010000305,9002909,Alprazolam Tab 0.25 MG,Xanax,0
BENZO,57100010000305,9002914,Alprazolam Tab 0.25 MG,Xanax,0
BENZO,57100010000305,9002917,Alprazolam Tab 0.25 MG,Xanax,0
BENZO,57100010000305,9002920,Alprazolam Tab 0.25 MG,Xanax,0
BENZO,57100010000305,9002946,Alprazolam Tab 0.25 MG,Xanax,0
BENZO,57100010000305,47078724,Alprazolam Tab 0.25 MG,ALPRAZolam,0
BENZO,57100010000305,47078730,Alprazolam Tab 0.25 MG,ALPRAZolam,0
BENZO,57100010000305,54410425,Alprazolam Tab 0.25 MG,ALPRAZolam,0
BENZO,57100010000305,54410429,Alprazolam Tab 0.25 MG,ALPRAZolam,0
BENZO,57100010000305,54810424,Alprazolam Tab 0.25 MG,ALPRAZolam,0
BENZO,57100010000305,54810425,Alprazolam Tab 0.25 MG,ALPRAZolam,0
BENZO,57100010000305,172483560,Alprazolam Tab 0.25 MG,ALPRAZolam,0
BENZO,57100010000305,172483570,Alprazolam Tab 0.25 MG,ALPRAZolam,0
BENZO,57100010000305,172483580,Alprazolam Tab 0.25 MG,ALPRAZolam,0
BENZO,57100010000305,182002701,Alprazolam Tab 0.25 MG,ALPRAZolam,0
BENZO,57100010000305,182002705,Alprazolam Tab 0.25 MG,ALPRAZolam,0
BENZO,57100010000305,182002789,Alprazolam Tab 0.25 MG,ALPRAZolam,0
BENZO,57100010000305,228202710,Alprazolam Tab 0.25 MG,ALPRAZolam,0
BENZO,57100010000305,228202750,Alprazolam Tab 0.25 MG,ALPRAZolam,0
BENZO,57100010000305,228202796,Alprazolam Tab 0.25 MG,ALPRAZolam,0
BENZO,57100010000305,247020801,Alprazolam Tab 0.25 MG,ALPRAZolam,0
BENZO,57100010000305,247020807,Alprazolam Tab 0.25 MG,ALPRAZolam,0
BENZO,57100010000305,247020810,Alprazolam Tab 0.25 MG,ALPRAZolam,0
BENZO,57100010000305,247020814,Alprazolam Tab 0.25 MG,ALPRAZolam,0
BENZO,57100010000305,247020830,Alprazolam Tab 0.25 MG,ALPRAZolam,0
BENZO,57100010000305,364258201,Alprazolam Tab 0.25 MG,ALPRAZolam,0
BENZO,57100010000305,364258205,Alprazolam Tab 0.25 MG,ALPRAZolam,0
BENZO,57100010000305,378400101,Alprazolam Tab 0.25 MG,ALPRAZolam,0
BENZO,57100010000305,378400105,Alprazolam Tab 0.25 MG,ALPRAZolam,0
BENZO,57100010000305,378400177,Alprazolam Tab 0.25 MG,ALPRAZolam,0
BENZO,57100010000305,403444030,Alprazolam Tab 0.25 MG,ALPRAZolam,0
BENZO,57100010000305,405404301,Alprazolam Tab 0.25 MG,ALPRAZolam,0
BENZO,57100010000305,405404302,Alprazolam Tab 0.25 MG,ALPRAZolam,0
BENZO,57100010000305,440707006,Alprazolam Tab 0.25 MG,ALPRAZolam,0
BENZO,57100010000305,440707030,Alprazolam Tab 0.25 MG,ALPRAZolam,0
BENZO,57100010000305,440707060,Alprazolam Tab 0.25 MG,ALPRAZolam,0
BENZO,57100010000305,440707090,Alprazolam Tab 0.25 MG,ALPRAZolam,0
BENZO,57100010000305,536323501,Alprazolam Tab 0.25 MG,ALPRAZolam,0
BENZO,57100010000305,536323505,Alprazolam Tab 0.25 MG,ALPRAZolam,0
BENZO,57100010000305,536323510,Alprazolam Tab 0.25 MG,ALPRAZolam,0
BENZO,57100010000305,536559601,Alprazolam Tab 0.25 MG,ALPRAZolam,0
BENZO,57100010000305,536559605,Alprazolam Tab 0.25 MG,ALPRAZolam,0
BENZO,57100010000305,603212721,Alprazolam Tab 0.25 MG,ALPRAZolam,0
BENZO,57100010000305,603212728,Alprazolam Tab 0.25 MG,ALPRAZolam,0
BENZO,57100010000305,603212732,Alprazolam Tab 0.25 MG,ALPRAZolam,0
BENZO,57100010000305,603234621,Alprazolam Tab 0.25 MG,ALPRAZolam,0
BENZO,57100010000305,603234628,Alprazolam Tab 0.25 MG,ALPRAZolam,0
BENZO,57100010000305,615042613,Alprazolam Tab 0.25 MG,ALPRAZolam,0
BENZO,57100010000305,615042629,Alprazolam Tab 0.25 MG,ALPRAZolam,0
BENZO,57100010000305,615042643,Alprazolam Tab 0.25 MG,ALPRAZolam,0
BENZO,57100010000305,615042653,Alprazolam Tab 0.25 MG,ALPRAZolam,0
BENZO,57100010000305,615042663,Alprazolam Tab 0.25 MG,ALPRAZolam,0
